epoch	loss	loss_cls	loss_box	OBOA	MAE	MAEP	MAEN	lr
1	4.705036454477724	1.3817373164347246	3.323299140287666	0.46128266033254156	0.772179744867984	1.1586709374757678	0.30632524817311096	5e-05
2	3.9524279403830676	1.2430572570464287	2.7093706828063624	0.5370546318289786	0.5866183743659604	0.839279559169434	0.2734797783063391	5e-05
3	3.6380802887867345	1.1838570386177776	2.4542232523827336	0.569833729216152	0.4959177899247167	0.687304786103991	0.2736809391251699	5e-05
4	3.4781168533952056	1.156600388950829	2.321516464374874	0.5824228028503563	0.4596165458814997	0.6177796045538939	0.27507941051849444	5e-05
5	3.426539708367951	1.1376897647709807	2.288849941470715	0.5774346793349169	0.4882322966115285	0.6752609510231813	0.27597563912000694	5e-05
6	3.327882379415714	1.1217917627995844	2.2060906183279454	0.5750593824228029	0.4792818278217126	0.6445123461945789	0.2814536393314432	5e-05
7	3.3270156248422555	1.1127963430601946	2.214219284217215	0.5814726840855107	0.4809617080790799	0.6610905066290411	0.2807784495100166	5e-05
8	3.2973253039349957	1.112605765961952	2.184719537540585	0.5909738717339668	0.4635184096336004	0.6216732431018387	0.2791671479880097	5e-05
9	3.200655736585488	1.0833552349156887	2.117300496938496	0.5852731591448931	0.4723787148718627	0.6537134207244705	0.27819983900313217	5e-05
10	3.1390349134104576	1.0681817796929973	2.070853136204098	0.5743467933491686	0.4938082823309137	0.685487958976857	0.27874832254569737	5e-05
11	3.0716590510565838	1.0514971015366332	2.0201619521147025	0.6033254156769596	0.4260111547049901	0.5835395136533009	0.26081718218255295	5e-05
12	3.0632910473406945	1.0392419825720494	2.024049067265579	0.6061757719714964	0.45277387983676126	0.6465522043263201	0.2573314285147553	5e-05
13	2.9426585119606172	1.0031434987230246	1.9395150119041784	0.6092636579572447	0.46419000661435744	0.6682917862192016	0.2551819342305513	5e-05
14	2.808709850838467	0.9694059575589937	1.8393038931533394	0.5942992874109264	0.4589850951079034	0.6645998507312585	0.2488274582363835	5e-05
15	2.7198601197177044	0.9464800391720274	1.7733800781542837	0.6130641330166271	0.4496132389514496	0.6655434472407038	0.2458453046286265	5e-05
16	2.604815436809888	0.9201860939676421	1.6846293432566857	0.6140142517814727	0.4389971869023101	0.6447166654714501	0.2418892213895519	5e-05
17	2.492557723294116	0.8869378729789156	1.6056198476329269	0.6270783847980997	0.42895103896179704	0.6491694038547019	0.2347217882091359	5e-05
18	2.431402827297681	0.8768993934192917	1.5545034353430855	0.6247030878859857	0.4288877400053118	0.6489737579957591	0.23606728039336128	5e-05
19	2.385310292140991	0.8607794008947969	1.5245308890375662	0.6173396674584323	0.4315256853261598	0.667015561768442	0.23065447910030487	5e-05
20	2.310886056757866	0.8392213863789671	1.4716646711029877	0.6361045130641331	0.4295826226125982	0.6533846061133091	0.2306809943869771	5e-05
